Code,Occupation Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
53201,Coaches,13300,13600,13700,13900,14000,14200,14400,14500,14700,14900,15000
53202,Sports officials and referees,6200,6500,6600,6700,6800,6900,7000,7100,7100,7200,7300
54100,"Program leaders and instructors in recreation, sport and fitness",149300,154700,157600,160000,162700,165000,167500,169900,172400,174800,177200
55109,Other performers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60010,Corporate sales managers,28300,29700,29900,30200,30400,30500,30600,30700,30800,30800,30900
60020,Retail and wholesale trade managers,355000,352700,357700,360400,361000,361300,361700,362000,362300,362800,363200
60030,Restaurant and food service managers,110200,108800,111400,114100,114800,115600,116300,117100,117600,118200,118600
60031,Accommodation service managers,51100,52300,54600,56000,56500,56800,57200,57600,58100,58500,58800
60040,Managers in customer and personal services,13400,13500,13600,13600,13600,13600,13600,13600,13600,13600,13600
62010,Retail sales supervisors,239100,235800,240100,242600,243500,244300,245100,245800,246600,247400,248100
62020,Food service supervisors,75800,75700,76500,78400,79900,81000,82100,83000,84000,84900,85900
62021,Executive housekeepers,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000
62022,"Accommodation, travel, tourism and related services supervisors",16900,17300,17000,17400,17600,18000,18200,18600,18800,19100,19400
62023,Customer and information services supervisors,29000,29300,29100,29500,30200,30700,31000,31500,31800,32100,32400
62024,Cleaning supervisors,39700,40300,40700,41300,42000,42600,43300,44200,44700,45300,45900
62029,Other services supervisors,27000,27700,28100,28600,29000,29400,29800,30200,30600,31000,31400
62100,Technical sales specialists - wholesale trade,133000,137300,138900,140200,141000,141700,142400,143200,143900,144600,145400
62101,Retail and wholesale buyers,22900,23300,23500,23500,23500,23500,23500,23500,23600,23600,23600
62200,Chefs,64500,64000,65400,67400,68600,69400,70400,71500,72100,72900,73800
62201,Funeral directors and embalmers,8900,9300,9400,9500,9500,9700,9700,9800,9900,10000,10100
62202,"Jewellers, jewellery and watch repairers and related occupations",1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000
63100,Insurance agents and brokers,86800,88000,90100,91400,92400,93100,93500,93800,94100,94400,94600
63101,Real estate agents and salespersons,106800,108400,110500,112100,113600,114700,115400,116000,116700,117300,117800
63102,Financial sales representatives,61300,62100,63600,65000,66200,67200,67900,68600,69400,70100,70800
63200,Cooks,171700,169800,174000,176500,177400,178000,178600,179200,179600,180000,180300
63201,Butchers - retail and wholesale,14400,14300,14500,14700,14700,14800,14800,14900,14900,15000,15000
63202,Bakers,32500,31800,32600,32900,32900,33000,33000,33100,33100,33200,33200
63210,Hairstylists and barbers,90500,94200,95600,96200,96600,97300,97800,98300,98700,99200,99600
63211,"Estheticians, electrologists and related occupations",71300,74800,76300,77700,78900,80300,81600,82900,84200,85500,86700
63220,Shoe repairers and shoemakers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63221,Upholsterers,4000,4100,4300,4300,4300,4300,4200,4200,4200,4100,4100
64100,Retail salespersons and visual merchandisers,579600,572400,583000,588800,591000,592500,594100,595600,596900,598500,600000
64101,Sales and account representatives - wholesale trade (non-technical),240900,242500,246700,249900,252100,254100,255800,257500,259300,261100,262800
64200,"Tailors, dressmakers, furriers and milliners",12600,12400,12500,12500,12600,12700,12700,12700,12800,12800,12800
64201,"Image, social and other personal consultants",1600,1700,1700,1700,1700,1700,1700,1700,1700,1800,1800
64300,Maîtres d'hôtel and hosts/hostesses,54500,56100,58000,58900,59200,59300,59500,59700,59900,60000,60100
64301,Bartenders,29400,29800,31200,31300,31000,30600,30300,30100,29900,29600,29300
64310,Travel counsellors,14600,14400,14700,14800,14900,15000,15100,15100,15200,15300,15300
64311,Pursers and flight attendants,14600,15100,15200,15300,15400,15400,15500,15500,15600,15600,15700
64312,Airline ticket and service agents,15900,16700,16900,17000,17100,17100,17100,17100,17200,17200,17200
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",3600,3700,3800,3800,3800,3800,3800,3800,3900,3900,3900
64314,Hotel front desk clerks,19100,19300,19500,20100,20500,20900,21200,21500,21800,22000,22300
64320,Tour and travel guides,3800,3800,3900,3900,3900,4000,4000,4000,4000,4000,4000
64321,Casino workers,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7500
64322,Outdoor sport and recreational guides,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800
64400,Customer services representatives - financial institutions,71500,72100,75000,76800,77600,78300,78600,78400,78800,78900,78800
64401,Postal services representatives,10300,10600,10700,10800,10900,10900,10900,10800,10800,10800,10800
64409,Other customer and information services representatives,181700,184900,186300,189000,190600,191800,193000,194900,195900,197200,198100
64410,Security guards and related security service occupations,104200,107200,107700,109700,110400,111400,112200,113200,114100,115000,115700
65100,Cashiers,349600,344200,351600,355500,356700,357800,358900,360000,361100,362200,363300
65101,Service station attendants,12000,11800,11500,11000,10700,10400,10100,9900,9700,9400,9200
65102,"Store shelf stockers, clerks and order fillers",262900,261000,267100,271600,274300,276800,279400,281900,284300,286800,289200
65109,Other sales related occupations,16200,15700,16800,17000,17100,17100,17000,16900,16900,16800,16800
65200,Food and beverage servers,175800,177900,182400,184400,184400,184100,183900,183600,183300,183000,182600
65201,"Food counter attendants, kitchen helpers and related support occupations",383000,388900,398900,405500,408700,410900,413300,415600,418000,420300,422600
65202,Meat cutters and fishmongers – retail and wholesale,5100,3600,3700,3700,3900,4000,4100,4100,4200,4200,4200
65210,"Support occupations in accommodation, travel and facilities set-up services",3600,3700,3800,3800,3800,3800,3800,3800,3800,3800,3800
65211,"Operators and attendants in amusement, recreation and sport",65200,68000,68800,70000,70800,71700,72600,73500,74400,75300,76200
65220,Pet groomers and animal care workers,35500,37500,37700,38300,39500,39200,40400,40400,41100,41600,42100
65229,Other support occupations in personal services,3800,3900,4000,4000,4000,4000,4000,4000,4000,4100,4100
65310,Light duty cleaners,228000,228300,234700,238800,242000,245400,249000,252300,256400,260800,265000
65311,Specialized cleaners,41900,42500,43200,43700,44100,44600,44600,45100,45500,45600,45900
65312,"Janitors, caretakers and heavy-duty cleaners",107000,108100,110500,111200,111000,110900,110700,110700,110500,110400,110200
65320,"Dry cleaning, laundry and related occupations",13900,14100,14000,13900,13800,13900,14000,14200,14300,14400,14500
65329,Other service support occupations,24500,25100,25300,25400,25300,25200,25200,25200,25200,25200,25200
70010,Construction managers,108900,110100,113200,115900,117300,118500,119700,120900,122100,123300,124200
70011,Home building and renovation managers,146000,146400,151100,155000,156900,158600,160400,162000,163700,165400,166700
70012,Facility operation and maintenance managers,35300,37200,36900,37100,37400,37600,37900,38200,38500,38900,39200
70020,Managers in transportation,37700,39100,39800,40300,40700,41100,41500,41800,42200,42600,43000
70021,Postal and courier services managers,3300,3500,3600,3600,3700,3700,3700,3700,3700,3700,3700
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",20200,20300,20800,21100,21300,21600,21700,21900,22100,22200,22400
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",32400,31900,32800,33400,33700,34000,34300,34600,34900,35200,35500
72012,"Contractors and supervisors, pipefitting trades",14100,14200,14600,15000,15100,15300,15500,15600,15800,15900,16100
72013,"Contractors and supervisors, carpentry trades",31500,31700,32800,33600,34000,34300,34700,35100,35400,35800,36100
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",63000,63500,65100,66100,66000,66000,66100,66100,65900,65700,65300
72020,"Contractors and supervisors, mechanic trades",73800,75100,77000,78100,78700,79400,80000,80600,81200,81900,82500
72021,"Contractors and supervisors, heavy equipment operator crews",64000,64400,66300,68000,68900,69600,70400,71100,71800,72500,73000
72022,"Supervisors, printing and related occupations",5100,5100,5200,5200,5200,5200,5100,5100,5100,5100,5100
72023,"Supervisors, railway transport operations",1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400
72024,"Supervisors, motor transport and other ground transit operators",35500,37000,37300,37900,38300,38800,39200,39500,40000,40400,40900
72025,"Supervisors, mail and message distribution occupations",11200,11900,11900,12100,12100,12100,12000,12000,12000,12000,11900
72100,Machinists and machining and tooling inspectors,43400,43400,43800,44300,44500,44700,44700,44700,44600,44500,44400
72101,Tool and die makers,11700,11600,11800,12000,12000,12100,12000,12000,12000,12000,11900
72102,Sheet metal workers,13900,14000,14300,14500,14500,14600,14700,14700,14800,14900,14900
72103,Boilermakers,2800,2900,2900,3000,3000,3000,3000,3100,3100,3100,3100
72104,Structural metal and platework fabricators and fitters,4300,4100,4200,4200,4200,4300,4300,4300,4200,4200,4200
72105,Ironworkers,14700,14600,15100,15500,15800,16000,16200,16400,16500,16700,16800
72106,Welders and related machine operators,90900,91000,92300,93000,93900,94400,94900,95500,95900,96100,96500
72200,Electricians (except industrial and power system),119300,122100,129800,133700,137700,140400,143500,146500,149500,152300,154900
72201,Industrial electricians,35600,36100,36700,37300,37500,37800,38000,38000,38200,38400,38600
72202,Power system electricians,4600,4800,4900,5000,5000,5100,5100,5200,5300,5300,5400
72203,Electrical power line and cable workers,12900,12900,13200,13500,13600,13700,13800,13800,13900,13900,14000
72204,Telecommunications line and cable installers and repairers,10100,10100,10300,10400,10400,10500,10500,10600,10600,10600,10700
72205,Telecommunications equipment installation and cable television service technicians,25900,26400,26800,27400,27800,28200,28500,28700,29100,29400,29700
72300,Plumbers,59900,61800,63600,65200,66100,67100,68300,69400,70500,71700,72600
72301,"Steamfitters, pipefitters and sprinkler system installers",25800,25900,26400,26800,27000,27200,27400,27500,27700,27900,28100
72302,Gas fitters,5500,5500,5600,5700,5700,5700,5700,5700,5700,5800,5800
72310,Carpenters,132000,133200,136800,139700,140800,141900,143200,144200,145400,146600,147600
72311,Cabinetmakers,5200,5100,5200,5300,5300,5300,5300,5300,5300,5300,5300
72320,Bricklayers,10700,10600,10900,11100,11200,11300,11300,11400,11400,11500,11500
72321,Insulators,9700,9800,10100,10400,10600,10700,10900,11000,11200,11300,11400
72400,Construction millwrights and industrial mechanics,88500,87200,88700,90200,91000,91600,92000,92500,92900,93400,93700
72401,Heavy-duty equipment mechanics,70600,73400,74700,75700,76400,77100,77800,78500,79200,80000,80700
72402,"Heating, refrigeration and air conditioning mechanics",46100,46600,48400,50000,51000,51900,52900,53700,54700,55600,56400
72403,Railway carmen/women,3100,3400,3300,3400,3300,3300,3300,3400,3400,3400,3400
72404,Aircraft mechanics and aircraft inspectors,18500,19100,19300,19700,20000,20300,20600,20900,21200,21400,21700
72405,Machine fitters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72406,Elevator constructors and mechanics,6000,6000,6200,6400,6600,6700,6800,6900,7000,7100,7200
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",140400,145200,147900,148400,150200,151300,152200,153100,154000,154900,155800
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",29700,30700,30900,31000,31000,31100,31200,31300,31300,31400,31500
72420,Oil and solid fuel heating mechanics,2100,2100,2100,2200,2200,2200,2300,2300,2300,2300,2300
72421,Appliance servicers and repairers,3900,4100,4200,4300,4300,4300,4200,4200,4200,4200,4200
72422,Electrical mechanics,10900,11100,11300,11600,11700,11900,12100,12200,12400,12600,12700
72423,"Motorcycle, all-terrain vehicle and other related mechanics",12500,12500,12700,12800,12900,13000,13100,13200,13200,13300,13400
72429,Other small engine and small equipment repairers,3500,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72500,Crane operators,16600,16400,16800,17200,17400,17600,17800,17900,18000,18200,18300
72501,Water well drillers,1200,1300,1300,1400,1400,1400,1400,1400,1500,1500,1500
72600,"Air pilots, flight engineers and flying instructors",19200,19800,20400,20700,21000,21300,21600,21800,22000,22300,22500
72601,Air traffic controllers and related occupations,4600,4600,4900,4900,5000,5000,5000,5100,5100,5100,5100
72602,"Deck officers, water transport",6200,6300,6400,6500,6600,6600,6600,6600,6600,6700,6700
72603,"Engineer officers, water transport",4100,4200,4500,4500,4600,4600,4600,4600,4700,4700,4700
72604,Railway traffic controllers and marine traffic regulators,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72999,Other technical trades and related occupations,9700,9600,9800,9900,10100,10200,10300,10400,10500,10600,10700
73100,Concrete finishers,13400,13400,13800,14200,14400,14500,14700,14800,15000,15100,15200
73101,Tilesetters,10100,10500,10600,10800,11000,11100,11100,11300,11400,11500,11500
73102,"Plasterers, drywall installers and finishers and lathers",27500,27300,28000,28500,28700,28800,28900,28900,29000,29100,29100
73110,Roofers and shinglers,23000,23200,24000,24600,24900,25200,25500,25800,26100,26500,26700
73111,Glaziers,5400,5500,5600,5700,5700,5800,5900,5900,6000,6100,6100
73112,Painters and decorators (except interior decorators),39200,39700,40200,40700,40700,40700,40800,41000,41100,41200,41200
73113,Floor covering installers,16600,16900,17300,17600,17800,17900,18100,18200,18400,18500,18600
73200,Residential and commercial installers and servicers,57400,57600,58200,59000,59400,59800,60100,60600,61000,61300,61600
73201,General building maintenance workers and building superintendents,76400,80400,79500,81100,82400,84000,85500,87000,88500,89900,91300
73202,Pest controllers and fumigators,3500,3500,3600,3700,3800,3900,3900,4000,4100,4200,4300
73209,Other repairers and servicers,16600,17500,17400,17500,17700,17800,18000,18100,18300,18400,18600
73300,Transport truck drivers,319400,325100,331900,337500,341300,344900,348300,351200,354600,358200,361700
73301,"Bus drivers, subway operators and other transit operators",101000,106300,106500,107600,108800,110300,111800,113100,114800,116400,118100
73310,Railway and yard locomotive engineers,6200,6400,6500,6600,6600,6700,6700,6700,6800,6800,6800
73311,Railway conductors and brakemen/women,5700,5900,5900,6000,6000,6000,6000,6000,6000,6000,6000
73400,Heavy equipment operators,75900,75800,78000,79700,80500,81200,81900,82600,83200,83900,84400
73401,Printing press operators,14600,14700,14700,14800,14800,14600,14400,14300,14200,14100,14000
73402,"Drillers and blasters - surface mining, quarrying and construction",2200,2200,2300,2400,2400,2400,2400,2400,2500,2500,2500
74100,Mail and parcel sorters and related occupations,22200,23900,24200,24500,24700,24800,24800,24800,24900,25000,25000
74101,Letter carriers,33000,33200,33900,34300,34900,35400,35800,36100,36500,36600,36900
74102,Couriers and messengers,20100,21600,21900,22200,22400,22500,22600,22700,22900,23000,23100
74200,Railway yard and track maintenance workers,7600,7800,7900,7900,7900,7900,7900,7900,7900,7900,7900
74201,Water transport deck and engine room crew,5500,5600,5700,5800,5800,5900,5900,5900,5900,5900,5900
74202,Air transport ramp attendants,13600,14000,14300,14500,14600,14700,14800,14800,14900,15000,15100
74203,Automotive and heavy truck and equipment parts installers and servicers,14900,15000,15300,15400,15500,15600,15700,15700,15800,15900,16000
74204,Utility maintenance workers,8100,8100,8400,8500,8600,8700,8700,8800,8800,8900,9000
74205,Public works maintenance equipment operators and related workers,29800,29700,30500,31000,31400,31800,32100,32400,32700,33100,33300
75100,Longshore workers,7300,7500,7600,7800,7900,8000,8100,8200,8300,8400,8500
75101,Material handlers,229400,235600,239100,241100,244200,245800,247000,249400,250900,252400,254800
75110,Construction trades helpers and labourers,143200,150200,151800,153700,154600,155700,156900,158100,159400,160600,161400
75119,Other trades helpers and labourers,7300,7500,7800,7700,7600,7600,7600,7600,7600,7600,7600
75200,Taxi and limousine drivers and chauffeurs,62100,64700,65500,66500,67300,68100,68900,69600,70400,71300,72300
75201,Delivery service drivers and door-to-door distributors,97900,101800,103600,105300,106200,107100,107900,108500,109300,110200,111000
75210,Boat and cable ferry operators and related occupations,2600,2700,2800,2800,2800,2900,2900,2900,2900,2900,3000
75211,Railway and motor transport labourers,4600,4900,4900,5000,5000,5000,5100,5100,5200,5200,5300
75212,Public works and maintenance labourers,28100,28300,29200,29700,29900,30100,30300,30500,30700,30900,31000
80010,Managers in natural resources production and fishing,13800,14000,14700,15100,15300,15400,15500,15500,15600,15800,15900
80020,Managers in agriculture,122400,112600,116400,115900,115500,114600,113500,112500,111600,110700,109900
80021,Managers in horticulture,7300,6700,7000,7000,7000,7000,7000,7000,7000,7000,7000
80022,Managers in aquaculture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82010,"Supervisors, logging and forestry",4900,5100,5100,5200,5200,5200,5200,5200,5300,5300,5300
82020,"Supervisors, mining and quarrying",8500,8100,8600,8800,8900,8900,9000,9100,9100,9100,9200
82021,"Contractors and supervisors, oil and gas drilling and services",17900,18700,19100,19400,19600,19700,19700,19600,19700,19900,20000
82030,Agricultural service contractors and farm supervisors,8700,8000,8100,8600,9100,9100,9100,9200,9300,9400,9500
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",25200,25300,25500,25700,25800,25900,26000,26100,26200,26300,26400
83100,Underground production and development miners,29400,29000,30600,31400,31600,31800,32000,32100,32400,32700,32900
83101,"Oil and gas well drillers, servicers, testers and related workers",23500,24300,25600,26300,26500,26600,26700,25500,25600,25800,26000
83110,Logging machinery operators,7800,7900,8100,8300,8500,8600,8800,8900,9100,9200,9400
83120,Fishing masters and officers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83121,Fishermen/women,10600,10500,10600,10600,10500,10500,10500,10400,10400,10300,10300
84100,Underground mine service and support workers,3100,2900,3000,3100,3100,3100,3100,3200,3200,3200,3200
84101,Oil and gas well drilling and related workers and services operators,4300,4300,4400,4500,4500,4500,4500,4300,4300,4300,4300
84110,Chain saw and skidder operators,4200,4600,4600,4600,4600,4600,4600,4600,4500,4500,4500
84111,Silviculture and forestry workers,3000,3300,3300,3300,3300,3300,3400,3400,3400,3400,3400
84120,Specialized livestock workers and farm machinery operators,29100,29300,30700,31100,31400,31500,31600,31700,31800,31900,32100
84121,Fishing vessel deckhands,3300,3400,3400,3300,3300,3200,3200,3200,3200,3200,3100
85100,Livestock labourers,30600,28100,29400,29700,29900,29900,29900,29900,29900,29900,30000
85101,Harvesting labourers,22900,20800,21800,22100,22100,22000,21800,21700,21600,21400,21300
85102,Aquaculture and marine harvest labourers,3100,2800,2900,3000,3000,3100,3100,3100,3200,3200,3200
85103,Nursery and greenhouse labourers,22200,20300,21600,22300,22500,22600,22700,22800,22800,22900,23000
85104,Trappers and hunters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85110,Mine labourers,3100,2900,3100,3100,3100,3100,3100,3100,3100,3100,3100
85111,"Oil and gas drilling, servicing and related labourers",5100,5200,5400,5500,5500,5500,5500,5500,5500,5500,5400
85120,Logging and forestry labourers,2300,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
85121,Landscaping and grounds maintenance labourers,80300,79200,82000,84100,85900,87400,88900,90600,92200,93900,95400
90010,Manufacturing managers,110100,112200,112100,112800,113900,114800,115400,116000,116700,117300,118000
90011,Utilities managers,16400,16700,17000,17300,17400,17600,17800,17900,18100,18300,18400
92010,"Supervisors, mineral and metal processing",10100,9700,9700,9900,10000,10100,10200,10200,10300,10300,10400
92011,"Supervisors, petroleum, gas and chemical processing and utilities",19900,20000,20100,20300,20600,20900,21100,21300,21400,21600,21800
92012,"Supervisors, food and beverage processing",26800,26900,28000,28600,28900,29200,29500,29800,30200,30500,30800
92013,"Supervisors, plastic and rubber products manufacturing",9400,9500,9600,9800,10100,10300,10500,10600,10800,11100,11300
92014,"Supervisors, forest products processing",11300,10800,11000,11100,11100,11000,11000,10900,10900,10900,10900
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",3400,3600,3600,3600,3600,3500,3500,3400,3400,3400,3400
92020,"Supervisors, motor vehicle assembling",13000,13500,13600,14000,14400,14700,14900,15100,15200,15400,15600
92021,"Supervisors, electronics and electrical products manufacturing",4400,4400,4500,4600,4600,4600,4700,4700,4700,4700,4700
92022,"Supervisors, furniture and fixtures manufacturing",5700,5900,5900,5900,5800,5800,5700,5700,5600,5600,5600
92023,"Supervisors, other mechanical and metal products manufacturing",18600,18300,18500,18700,18800,18900,18900,19000,19000,19000,19000
92024,"Supervisors, other products manufacturing and assembly",12600,13600,13300,13200,13200,13100,13000,13000,12900,12800,12800
92100,Power engineers and power systems operators,27600,27200,27800,27900,27800,27900,28200,28200,28200,28200,28300
92101,Water and waste treatment plant operators,11800,12300,12600,12700,12900,13000,13200,13300,13400,13600,13700
93100,"Central control and process operators, mineral and metal processing",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93101,"Central control and process operators, petroleum, gas and chemical processing",16200,16200,16300,16300,16400,16400,16400,16300,16300,16300,16300
93102,"Pulping, papermaking and coating control operators",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93200,Aircraft assemblers and aircraft assembly inspectors,9900,10400,10400,10400,10500,10500,10500,10500,10500,10500,10500
94100,"Machine operators, mineral and metal processing",14200,13600,13800,14100,14300,14600,14800,14900,15100,15200,15400
94101,Foundry workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94102,Glass forming and finishing machine operators and glass cutters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94103,"Concrete, clay and stone forming operators",4600,4400,4500,4600,4600,4600,4700,4600,4700,4600,4600
94104,"Inspectors and testers, mineral and metal processing",4300,4100,4100,4100,4200,4200,4200,4100,4100,4100,4100
94105,Metalworking and forging machine operators,26200,25500,26100,26600,27000,27100,27100,27100,27000,26900,26800
94106,Machining tool operators,11900,11600,11800,12100,12300,12500,12500,12500,12600,12600,12600
94107,Machine operators of other metal products,38100,38000,38300,39400,40100,40600,40800,41000,41000,41100,41100
94110,Chemical plant machine operators,14400,14200,14600,14700,14900,15000,15100,15100,15200,15200,15300
94111,Plastics processing machine operators,15000,14300,14400,14500,14700,14900,15000,15100,15300,15400,15600
94112,Rubber processing machine operators and related workers,5400,5200,5200,5200,5200,5200,5200,5200,5200,5100,5100
94120,Sawmill machine operators,7200,6900,7100,7200,7300,7300,7300,7300,7300,7300,7300
94121,"Pulp mill, papermaking and finishing machine operators",7700,7300,7200,7200,7100,7100,7100,7100,7100,7100,7100
94122,Paper converting machine operators,6300,6000,5900,6000,6000,5900,6000,6000,6000,6100,6100
94123,Lumber graders and other wood processing inspectors and graders,2900,2800,2800,2800,2900,2800,2800,2800,2800,2800,2800
94124,Woodworking machine operators,6400,6200,6300,6300,6300,6300,6200,6200,6100,6100,6100
94129,Other wood processing machine operators,4200,4000,4100,4200,4200,4200,4200,4300,4300,4300,4300
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",2300,2400,2400,2400,2400,2300,2300,2300,2300,2300,2200
94131,"Weavers, knitters and other fabric making occupations",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94132,Industrial sewing machine operators,17700,18400,18500,18300,18200,18000,17800,17700,17500,17400,17400
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94140,"Process control and machine operators, food and beverage processing",66300,65600,68500,69900,70600,71200,71700,71900,72400,72800,73300
94141,"Industrial butchers and meat cutters, poultry preparers and related workers",18600,18400,19100,19200,19100,19100,19100,19100,19100,19000,19000
94142,Fish and seafood plant workers,3300,3300,3400,3500,3500,3500,3500,3500,3500,3500,3500
94143,"Testers and graders, food and beverage processing",8700,8800,9000,9100,9100,9200,9200,9300,9300,9400,9400
94150,Plateless printing equipment operators,5800,5800,5900,5900,6000,6000,6000,6000,6000,6100,6100
94151,"Camera, platemaking and other prepress occupations",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94152,Binding and finishing machine operators,1900,1900,1900,1900,1900,1800,1800,1800,1800,1700,1700
94153,Photographic and film processors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94200,"Motor vehicle assemblers, inspectors and testers",31100,31800,32200,33200,34000,34300,34300,34400,34400,34500,34500
94201,"Electronics assemblers, fabricators, inspectors and testers",18400,18400,18900,19300,19700,19800,20000,20100,20100,20200,20300
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",12200,12300,12600,12900,13200,13300,13400,13500,13600,13700,13800
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",10800,10500,10900,11200,11400,11500,11500,11600,11600,11600,11600
94204,Mechanical assemblers and inspectors,17400,17000,17200,17700,18100,18400,18500,18700,18800,18900,19000
94205,"Machine operators and inspectors, electrical apparatus manufacturing",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",29700,32300,32300,31800,31600,31200,30900,30600,30400,30200,30100
94211,Assemblers and inspectors of other wood products,14000,13500,14000,14400,14600,14700,14800,14900,15000,15100,15100
94212,"Plastic products assemblers, finishers and inspectors",8800,8900,9000,9200,9300,9500,9600,9700,9800,10000,10100
94213,"Industrial painters, coaters and metal finishing process operators",14700,14900,15200,15500,15800,15900,16000,16100,16200,16200,16300
94219,"Other products assemblers, finishers and inspectors",38500,39800,39500,39600,39600,39500,39400,39300,39100,38900,38700
95100,Labourers in mineral and metal processing,5000,4700,4800,4800,4800,4800,4800,4800,4800,4800,4800
95101,Labourers in metal fabrication,18200,17900,18300,18800,19100,19400,19500,19700,19800,19900,20000
95102,Labourers in chemical products processing and utilities,9800,10300,10500,10500,10700,10800,10900,10900,11000,11100,11200
95103,"Labourers in wood, pulp and paper processing",19300,18400,18800,19000,19100,19200,19300,19400,19500,19600,19700
95104,Labourers in rubber and plastic products manufacturing,6800,6600,6600,6700,6800,6800,6900,6900,7000,7000,7100
95105,Labourers in textile processing and cutting,3000,3100,3100,3000,3000,2900,2900,2800,2800,2700,2700
95106,Labourers in food and beverage processing,53400,52500,53600,54300,54500,54700,54900,55000,54900,54800,54700
95107,Labourers in fish and seafood processing,3400,3500,3600,3500,3500,3400,3400,3400,3400,3300,3300
95109,"Other labourers in processing, manufacturing and utilities",20900,21900,21700,21700,21600,21400,21300,21100,20900,20800,20700
